a accidentIndex
b sexOfDriver
c ageOfDriver
d ageOfVehicle
e accidentSeverity
f speedLimit
g didPoliceOfficerAttendSceneOfAccident

a             b   c    d    e   f    g
201506F096994 1.0 30.0 -1.0 3.0 30.0 2.0
201506F096994 2.0 47.0 -1.0 3.0 30.0 2.0
201506F097086 1.0 26.0 5.0 3.0 30.0 1.0
201506F097086 3.0 -1.0 1.0 3.0 30.0 1.0
201506F097088 1.0 28.0 12.0 3.0 30.0 1.0
201506F097089 2.0 62.0 10.0 2.0 30.0 1.0
201506F097089 2.0 62.0 10.0 2.0 30.0 1.0
201506F097089 1.0 22.0 1.0 2.0 30.0 1.0
201506F097178 2.0 39.0 1.0 2.0 30.0 1.0
201506F097218 1.0 43.0 12.0 3.0 30.0 1.0
201506F097373 2.0 70.0 3.0 3.0 30.0 2.0
201506F097373 1.0 77.0 12.0 3.0 30.0 2.0
201506F097491 1.0 54.0 -1.0 3.0 30.0 1.0
201506F097491 1.0 79.0 11.0 3.0 30.0 1.0
201506F097594 2.0 31.0 14.0 3.0 20.0 1.0
201506F097655 1.0 30.0 17.0 2.0 30.0 2.0
201506F097655 1.0 18.0 -1.0 2.0 30.0 2.0
201506F097678 1.0 32.0 4.0 3.0 30.0 1.0
201506F097678 1.0 40.0 19.0 3.0 30.0 1.0
201506F097710 1.0 29.0 -1.0 3.0 30.0 1.0
201506F097710 1.0 56.0 5.0 3.0 30.0 1.0
201506F097710 1.0 56.0 5.0 3.0 30.0 1.0
201506F097719 1.0 54.0 2.0 3.0 20.0 1.0
201506F097854 2.0 24.0 9.0 3.0 30.0 2.0
201506F097854 2.0 47.0 1.0 3.0 30.0 2.0
201506F097871 1.0 18.0 5.0 3.0 30.0 1.0
201506F097871 1.0 20.0 9.0 3.0 30.0 1.0
201506F097979 1.0 29.0 -1.0 3.0 50.0 1.0
201506F097979 1.0 79.0 5.0 3.0 50.0 1.0
201506F098074 1.0 35.0 1.0 3.0 30.0 1.0
201506F098074 2.0 50.0 -1.0 3.0 30.0 1.0
201506F098074 2.0 50.0 -1.0 3.0 30.0 1.0
201506F098074 1.0 39.0 6.0 3.0 30.0 1.0
201506F098139 1.0 33.0 12.0 3.0 30.0 1.0
201506F098139 1.0 57.0 1.0 3.0 30.0 1.0
201506F098152 1.0 44.0 6.0 2.0 30.0 1.0
201506F098231 1.0 27.0 -1.0 3.0 30.0 2.0
201506F098286 1.0 22.0 -1.0 3.0 50.0 1.0
